6318,Myrtie,1883,F,50
6319,Linda,1883,F,49
6320,Lucile,1883,F,49
6321,Madge,1883,F,49
6322,Marjorie,1883,F,49
6323,Norma,1883,F,49
6324,Eugenia,1883,F,48
6325,Geneva,1883,F,48
6326,Marian,1883,F,48
6327,Roberta,1883,F,48
6328,Louella,1883,F,47
6329,Malinda,1883,F,47
6330,Olivia,1883,F,46
6331,Annette,1883,F,45
6332,Antoinette,1883,F,44
6333,Ivy,1883,F,44
6334,Janet,1883,F,44
6335,Lilla,1883,F,43
6336,Elma,1883,F,42
6337,Lorena,1883,F,42
6338,Melissa,1883,F,42
6339,Adah,1883,F,41
6340,Dovie,1883,F,40
6341,John,1883,F,40
6342,Orpha,1883,F,40
6343,William,1883,F,40
6344,Cecilia,1883,F,39
6345,Dessie,1883,F,39
6346,Gracie,1883,F,39
6347,Pearle,1883,F,39
6348,Rosetta,1883,F,39
6349,Claire,1883,F,38
6350,Erma,1883,F,38
6351,Lina,1883,F,38
6352,Regina,1883,F,38
6353,Angie,1883,F,36
6354,Elnora,1883,F,36
6355,Mertie,1883,F,36
6356,Cecile,1883,F,35
6357,Elsa,1883,F,35
6358,Kittie,1883,F,35
6359,Lucretia,1883,F,35
6360,Mandy,1883,F,35
6361,Zora,1883,F,35
6362,Angeline,1883,F,34
6363,Cassie,1883,F,34
6364,Georgie,1883,F,34
6365,Lona,1883,F,34
6366,Miriam,1883,F,34
6367,Oma,1883,F,34
6368,Bell,1883,F,33
6369,Freda,1883,F,33
6370,Joanna,1883,F,33
6371,Lyda,1883,F,33
6372,Nona,1883,F,33
6373,Pearlie,1883,F,33
6374,Polly,1883,F,33
6375,Vivian,1883,F,33
6376,Alpha,1883,F,32
6377,Ila,1883,F,32
6378,Lessie,1883,F,32
6379,Maudie,1883,F,32
6380,Tena,1883,F,32
6381,Tennie,1883,F,32
6382,Frankie,1883,F,31
6383,Madeline,1883,F,31
6384,Margie,1883,F,31
6385,Tilda,1883,F,31
6386,Adelia,1883,F,30
6387,Dona,1883,F,30
6388,Dorothea,1883,F,30
6389,Margret,1883,F,30
6390,Molly,1883,F,30
6391,Nola,1883,F,30
6392,Sudie,1883,F,30
6393,Ava,1883,F,29
6394,Charity,1883,F,29
6395,Emelia,1883,F,29
6396,Letha,1883,F,29
6397,Veronica,1883,F,29
6398,Blanch,1883,F,28
6399,Bridget,1883,F,28
6400,Fay,1883,F,28
6401,Georgianna,1883,F,28
6402,Maybelle,1883,F,28
6403,Nan,1883,F,28
6404,Pansy,1883,F,28
6405,Almeda,1883,F,27
6406,Anita,1883,F,27
6407,Artie,1883,F,27
6408,Ernestine,1883,F,27
6409,Evie,1883,F,27
6410,Hilma,1883,F,27
6411,Leora,1883,F,27
6412,Magdalena,1883,F,27
6413,Mazie,1883,F,27
6414,Priscilla,1883,F,27
6415,Savannah,1883,F,27
6416,Angelina,1883,F,26
6417,Cleo,1883,F,26
6418,Elisabeth,1883,F,26
6419,Elise,1883,F,26
6420,Elvira,1883,F,26
6421,Ettie,1883,F,26
6422,Floy,1883,F,26
6423,Lavina,1883,F,26
6424,Louie,1883,F,26
6425,Marietta,1883,F,26
6426,Octavia,1883,F,26
6427,Ona,1883,F,26
6428,Isabell,1883,F,25
6429,James,1883,F,25
6430,Leota,1883,F,25
6431,Leta,1883,F,25
6432,Lotta,1883,F,25
6433,Rosella,1883,F,25
6434,Velma,1883,F,25
6435,Vinnie,1883,F,25
6436,Zula,1883,F,25
6437,Adda,1883,F,24
6438,Dolly,1883,F,24
6439,Ellie,1883,F,24
6440,Helene,1883,F,24
6441,Juanita,1883,F,24
6442,Julie,1883,F,24
6443,June,1883,F,24
6444,Lucia,1883,F,24
6445,Lutie,1883,F,24
6446,Malissa,1883,F,24
6447,Pattie,1883,F,24
6448,Cecil,1883,F,23
6449,Edythe,1883,F,23
6450,Georgiana,1883,F,23
6451,Hortense,1883,F,23
6452,Letitia,1883,F,23
6453,Marcia,1883,F,23
6454,Rae,1883,F,23
6455,Rilla,1883,F,23
6456,Rosalie,1883,F,23
6457,Vina,1883,F,23
6458,Zoe,1883,F,23
6459,Angela,1883,F,22
6460,Clare,1883,F,22
6461,Eddie,1883,F,22
6462,Elmira,1883,F,22
6463,George,1883,F,22
6464,Johnnie,1883,F,22
6465,Kathrine,1883,F,22
6466,Lenna,1883,F,22
6467,Lucie,1883,F,22
6468,Myrta,1883,F,22
6469,Neva,1883,F,22
6470,Retta,1883,F,22
6471,Susanna,1883,F,22
6472,Vida,1883,F,22
6473,Berta,1883,F,21
6474,Bonnie,1883,F,21
6475,Donna,1883,F,21
6476,Doris,1883,F,21
6477,Easter,1883,F,21
6478,Hanna,1883,F,21
6479,Harriette,1883,F,21
6480,Kathleen,1883,F,21
6481,Mellie,1883,F,21
6482,Melvina,1883,F,21
6483,Tina,1883,F,21
6484,Tommie,1883,F,21
6485,Carolina,1883,F,20
6486,Corinne,1883,F,20
6487,Daisie,1883,F,20
6488,Jimmie,1883,F,20
6489,Lavinia,1883,F,20
6490,Liza,1883,F,20
6491,Lue,1883,F,20
6492,Mahala,1883,F,20
6493,Missouri,1883,F,20
6494,Norah,1883,F,20
6495,Patsy,1883,F,20
6496,Willa,1883,F,20
6497,Albina,1883,F,19
6498,Cathrine,1883,F,19
6499,Chloe,1883,F,19
6500,Corrie,1883,F,19
6501,Eda,1883,F,19
6502,Fern,1883,F,19
6503,Florida,1883,F,19
6504,Ione,1883,F,19
6505,Lennie,1883,F,19
6506,Lovie,1883,F,19
6507,Ludie,1883,F,19
6508,Marcella,1883,F,19
6509,Paula,1883,F,19
6510,Una,1883,F,19
6511,Verda,1883,F,19
6512,Vesta,1883,F,19
6513,Antonia,1883,F,18
6514,Charles,1883,F,18
6515,Eloise,1883,F,18
6516,Iona,1883,F,18
6517,Ira,1883,F,18
6518,Jannie,1883,F,18
6519,Leonora,1883,F,18
6520,Manda,1883,F,18
6521,Muriel,1883,F,18
6522,Odessa,1883,F,18
6523,Rosanna,1883,F,18
6524,Sena,1883,F,18
6525,Shirley,1883,F,18
6526,Wilma,1883,F,18
6527,Bella,1883,F,17
6528,Clarissa,1883,F,17
6529,Constance,1883,F,17
6530,Donnie,1883,F,17
6531,Frank,1883,F,17
6532,Hope,1883,F,17
6533,Joseph,1883,F,17
6534,Lenore,1883,F,17
6535,Lilian,1883,F,17
6536,Luna,1883,F,17
6537,Malvina,1883,F,17
6538,Mame,1883,F,17
6539,Matie,1883,F,17
6540,Pinkie,1883,F,17
6541,Samantha,1883,F,17
6542,Adella,1883,F,16
6543,Alida,1883,F,16
6544,Besse,1883,F,16
6545,Cordie,1883,F,16
6546,Deborah,1883,F,16
6547,Dena,1883,F,16
6548,Dixie,1883,F,16
6549,Emilia,1883,F,16
6550,Idella,1883,F,16
6551,India,1883,F,16
6552,Joe,1883,F,16
6553,Kitty,1883,F,16
6554,Lissie,1883,F,16
6555,Mona,1883,F,16
6556,Onie,1883,F,16
6557,Opal,1883,F,16
6558,Vada,1883,F,16
6559,Winnifred,1883,F,16
6560,Zelma,1883,F,16
6561,Adela,1883,F,15
6562,Almira,1883,F,15
6563,Clementine,1883,F,15
6564,Delphine,1883,F,15
6565,Elizebeth,1883,F,15
6566,Geraldine,1883,F,15
6567,Judith,1883,F,15
6568,Libbie,1883,F,15
6569,Mariah,1883,F,15
6570,Merle,1883,F,15
6571,Mintie,1883,F,15
6572,Odie,1883,F,15
6573,Philomena,1883,F,15
6574,Phyllis,1883,F,15
6575,Reba,1883,F,15
6576,Rita,1883,F,15
6577,Vallie,1883,F,15
6578,Zetta,1883,F,15
6579,Agatha,1883,F,14
